Facility Name,Registration Number,County,Street Address,City,State,Zip Code,Contact Name,Phone Number,Extension,Website,Location 1
Jerge's Used Auto Parts Inc.,1033,Allegany,7708 County Road 26,Belfast,NY,14711,Annette Kish,585-365-2758,,,"7708 County Road
Belfast, NY 14711"
"Elemet, Inc.",1213,Columbia,1 Industrial Tract,Hudson,NY,12534,Alex Delia,518-828-4136,5,,"1 Industrial
Hudson, NY 12534"
Ombligo Inc.,120,Kings,"4014 1st Avenue, 5th Floor SW, Unit 16",Brooklyn,NY,11232,Michael Epp,718-384-0796,,http://www.ombligo.com,
E-Scrap of Syracuse,1192,Onondaga,1759 Route 11,Tully,NY,13159,Joe D'Agostino,315-382-7885,,http://www.e-scrap.co,"1759 Route
Tully, NY 13159"
"Green Chip, Inc.",1210,Queens,19-36 38th Street,Astoria,NY,11105,Lee Srokosz,718-349-2620,,,"19 36 38th Street
Astoria, NY 11105"
Prince Metal,34,Queens,37-90 Railroad Avenue,New York,NY,11101,Rick Hwang,347-541-6899,,http://www.PrinceMetal.com,"37 90 Railroad Avenue
New York, NY 11101"
"The 4th Bin, Inc.",23,Queens,35-10 10th Street,Long Island City,NY,11106,Michael Deutsch,646-747-5987,,http://www.4thbin.com,"35 10 10th Street
Long Island City, NY 11106"
Maryhaven Center of Hope,777,Suffolk,445 County Road 101,Yaphank,NY,11980,John Mahoney,631-924-5900 ,,http://www.maryhaven.chsli.org,"445 County Road
Yaphank, NY 11980"
"Edison Electronics, Inc.",402,Otsego,"5375 State Highway 7, Suite 1",Oneonta,NY,13820,Ahren Edison,607-432-9311,,,"5375 State Highway 7
Oneonta, NY 13820
(42.457111, -75.035472)"
eWorks ESI AHRC Suffolk,977,Suffolk,55 Crossway East,Bohemia,NY,11716,Natale Leo,631-585-0100,,http://www.eworksesi.org,"55 Crossway East
Bohemia, NY 11716
(40.786801, -73.146146)"
Advanced Technology Recycling,1060,Erie,200 Fire Tower Drive,Tonawanda,NY,14150,Barb Ehresman,716-693-7779,,http://www.atrecycle.com,"200 Fire Tower Drive
Tonawanda, NY 14150
(42.991759, -78.908442)"
The Computer Shop,1211,Broome,118 West Main Street,Endicott,NY,13760,Jason Mcgonnigal,607-484-9033,,http://thecomputershopny.com,"118 West Main Street
Endicott, NY 13760
(42.095155, -76.066096)"
"Electronic Waste Recycling, Inc.",1065,Suffolk,"1648 Locust Avenue, Suite H",Bohemia,NY,11716,Michael Marro,631-256-6610,,,"1648 Locust Avenue
Bohemia, NY 11716
(40.785033, -73.117615)"
Computer Connection of CNY Inc.,947,Oneida,11206 Cosby Manor Road,Utica,NY,13502,Mike Buffa,315-724-2209,,http://www.ccnytech.com/,"11206 Cosby Manor Road
Utica, NY 13502
(43.110854, -75.145988)"
"Green Chip, Inc.",743,Kings,540 Kingsland Avenue,Brooklyn,NY,11222,William Monteleone,718-349-3094,,http://www.greenchiprecycling.com,"540 Kingsland Avenue
Brooklyn, NY 11222
(40.734571, -73.944753)"
Advanced Recovery Inc.,28,Orange,41 Mechanic Street,Port Jervis,NY,12771,Mark Rea,845-858-8809,,http://advancedrecovery.com,"41 Mechanic Street
Port Jervis, NY 12771
(41.381421, -74.702664)"
AAA Computer Repair,1196,Onondaga,8112 Portobello Way,Liverpool,NY,13090,Bryon Haacke,315-664-2048,,,"8112 Portobello Way
Liverpool, NY 13090
(43.166074, -76.226936)"
Schoharie County ARC/ Toe Path Industries,1204,Schoharie,121 Opportunity Drive,Schoharie,NY,12157,David DiNicola,518-295-8130,,http://www.schohariearc.org,"121 Opportunity Drive
Schoharie, NY 12157
(42.640726, -74.324951)"
Ben Weitsman of Albany,1134,Albany,300 Smith Boulevard,Albany,NY,12202,Anthony Marro ,518-462-4444,,http://upstateshredding.com,"300 Smith Boulevard
Albany, NY 12202
(42.624747, -73.75848)"
NetTech Electronics Recycling,993,Bronx,4238c Bronx  Boulevard,Bronx,NY,10466,Fred Percy,718-484-8302,,http://www.nettechrecycling.com,"4238c Bronx Boulevard
Bronx, NY 10466
(40.895963, -73.86035)"
"E-Green Recycling Management, LLC",926,Suffolk,140 Corporate Drive,Holtsville,NY,11742,Bill Rouse,631-732-6403,,http://www.egreenrecyclingmanagement.com,"140 Corporate Drive
Holtsville, NY 11742
(40.80954, -73.038301)"
eWorks ESI HASC,998,Kings,5601 1st Avenue,Brooklyn,NY,11220,Yossi Dresdner,718-745-7575,,http://www.eworksesi.org,"5601 1st Avenue
Brooklyn, NY 11220
(40.646842, -74.022845)"
SouthernTier-e-waste Recycling,1066,Steuben,3940 West Hill Road,Painted Post,NY,14870,Donald Gulick,607-329-4497,,,"3940 West Hill Road
Painted Post, NY 14870
(42.191966, -77.079914)"
"ZLD Tech Enterprise, Inc. ",1207,New York,114 Bowery Street,New York,NY,10013,Enze Wang,646-236-5099,,,"114 Bowery Street
New York, NY 10013
(40.718134, -73.994948)"
Crestwood Metal Corporation,146,Suffolk,1100 Lincoln Avenue,Holbrook,NY,11741,Sebastian Passarello,631-567-2727,,http://crestwoodmetal.com,"1100 Lincoln Avenue
Holbrook, NY 11741
(40.77468, -73.083522)"
"Tekovery, Inc.",686,Westchester,560 South 3rd Avenue,Mount Vernon,NY,10550,Andrew Orben,914-226-8322 ,114,http://www.tekovery.com,"560 South 3rd Avenue
Mount Vernon, NY 10550
(40.898088, -73.830495)"
ACRMD Community,1130,Queens,2435 Harway Avenue,Brooklyn,NY,11214,Jerry Bucher,646-438-0548,,,"2435 Harway Avenue
Brooklyn, NY 11214
(40.593375, -73.993569)"
Midisland Salvage Corporation,1146,Suffolk,1007 Long Island Avenue,Deer Park,NY,11729,James Marro ,631-942-1383,,http://midislandsalvagecorp.com,"1007 Long Island Avenue
Deer Park, NY 11729
(40.765461, -73.313389)"
Bomet Recovery LLC,1096,Orleans,152 Mc Kinstry Street,Albion,NY,14411,Carrie Dunn,585-283-4135,,,"152 Mc Kinstry Street
Albion, NY 14411
(43.242578, -78.18634)"
eWorks ESI AHRC Nassau,411,Nassau,230 Hanse Avenue,Freeport,NY,11520,Lee Gray,516-546-7700,,http://www.eworksesi.org,"230 Hanse Avenue
Freeport, NY 11520
(40.6456, -73.571081)"
Evolution Recycling Inc.,1208,Rensselaer,295 1st Street,Troy,NY,12180,Gary Bishop,518-774-3227,,,"295 1st Street
Troy, NY 12180
(42.719303, -73.69546)"
"Sunnking, Inc.",2,Monroe,4 Owens Road,Brockport,NY,14420,Michelle Read,585-637-8365,,http://www.sunnking.com,"4 Owens Road
Brockport, NY 14420
(43.211395, -77.922421)"
Asset Recovery Engineering Associates,1028,Erie,5590 Maelou Drive,Hamburg,NY,14075,Al Conte,716-512-5518,,,"5590 Maelou Drive
Hamburg, NY 14075
(42.735552, -78.832643)"
Edward Arnold Scrap Processors Inc.,362,Genesee,2216 Angling Road,Corfu,NY,14036,Brant Arnold,585-762-9080,,,"2216 Angling Road
Corfu, NY 14036
(42.979872, -78.337465)"
Quality Shredding Corporation,1063,Suffolk,1014 Grand Boulevard,Deer Park,NY,11729,Steven Innerfield,631-926-0959,,http://www.QualityShredding.com,"1014 Grand Boulevard
Deer Park, NY 11729
(40.760886, -73.297212)"
"Buffalo Computer Recycling, LLC",927,Erie,69 Hayes Place,Buffalo ,NY,14210,Steve Chumsky,716-868-8640,,http://buffalocomputerrecycling.com,"69 Hayes Place
Buffalo, NY 14210
(42.869651, -78.827137)"
Evolution Recycling Inc.,1008,Fulton,20 Crescendoe Road,Johnstown,NY,12095,Gary Bishop,518-774-3227,,,"20 Crescendoe Road
Johnstown, NY 12095
(43.012624, -74.369889)"
Lower East Side Ecology Center,120,Kings,469 President Street,Brooklyn,NY,11215,Christine Datz-Romero,212-477-4022,,http://www.lesecologycenter.org,"469 President Street
Brooklyn, NY 11215
(40.678385, -73.987615)"
EWASTE+,138,Ontario,7318 Victor-Mendon Road,Victor,NY,14564,Mike Whyte,585-924-3840,,http://www.ewaste.com,"7318 Victor-Mendon Road
Victor, NY 14564
(42.994854, -77.433304)"
"PCR Metals, Inc.",1202,Nassau,18 Fox Hunt Lane,Great Neck,NY,11020,Peter Ross,516-238-0344,,,"18 Fox Hunt Lane
Great Neck, NY 11020
(40.769975, -73.717146)"
King Metal Corporation of New York,734,Nassau,70 New Street,Oceanside,NY,11570,Charles Levine,516-536-5464,,,"70 New Street
Oceanside, NY 11570
(40.636353, -73.659147)"
"First Class Aire, LLC dba First Class Services",873,St. Lawrence,495 West Parishville Road,Potsdam,NY,13676,Lisa Clothier,315-265-1003,,http://www.firstclassnny.com,"495 West Parishville Road
Potsdam, NY 13676
(44.623329, -74.953199)"
"Maven Technologies, LLC",123,Monroe,1450 Lyell Avenue,Rochester,NY,14606,Ken Johnson,585-458-2460 ,225,http://www.maventech.com,"1450 Lyell Avenue
Rochester, NY 14606
(43.164661, -77.661584)"
"Sir Scrap-A-Lot Recycling, LLC dba DiSK Data Destruction",1102,Suffolk,5 Hilltop Court,Rocky Point,NY,11778,Chris McDonald,631-923-7600,,,"5 Hilltop Court
Rocky Point, NY 11778
(40.951963, -72.95372)"
"E-Solutions USA, LLC",249,Suffolk,"200 Engineers Road, Suite 1 ",Hauppauge,NY,11788,Nicholas,631-234-7362,,http://www.esolutionsusa.com,"200 Engineers Road
Hauppauge, NY 11788
(40.813736, -73.242781)"
Arrow Scrap Corporation,611,Suffolk,83 Kean Street,West Babylon,NY,11704,Don Galindo,631-491-3061,,http://www.arrowscrap.com,"83 Kean Street
West Babylon, NY 11704
(40.73722, -73.380052)"
"Allocco Recycling, Ltd.",328,Kings,540 Kingsland Avenue,Brooklyn,NY,11222,Michael Allocco,718-349-3094,,http://www.alloccorecycling.com,"540 Kingsland Avenue
Brooklyn, NY 11222
(40.734571, -73.944753)"
Advanced Electronic Recycling,1205,Albany,1076 Broadway,Menands,NY,12204,Lewis Growick,518-490-2350,,,"1076 Broadway
Menands, NY 12204
(42.667432, -73.741019)"
"Total Computer Supplies and Accessories, Inc.",357,Clinton,7164 U.S. 9,Plattsburgh,NY,12901,Jay Letts,518-561-6885,,http://www.totalcomputersupplies.com,"7164 U S 9
Plattsburgh, NY 12901
(44.727943, -73.434508)"
Geodis Global Solutions USA Inc.,26,Broome,1701 North Street,Endicott,NY,13760,Maria R. Balchikonis,732-570-6408,,,"1701 North Street
Endicott, NY 13760
(42.105145, -76.046096)"
Liquid Technology,618,Kings,"140 58th Street, Suite 8C",Brooklyn,NY,11220,Stephen Sidwell,646-230-8632,,http://liquidtechnology.net,"140 58th Street
Brooklyn, NY 11220
(40.645819, -74.023681)"
"Ecotech Management, Inc.",932,Suffolk,935 Lincoln Avenue,Holbrook,NY,11741,sebastian passarello,631-567-2727,,http://ecotechmanagement.com,"935 Lincoln Avenue
Holbrook, NY 11741
(40.774945, -73.083545)"
eLot Electronics Recycling,30,Albany,64 Hannay Lane,Glenmont,NY,12077,Morris Freedman,518-266-9385,,http://www.elotrecycling.com,"64 Hannay Lane
Glenmont, NY 12077
(42.623834, -73.785515)"
"ProTek Recycling, Inc.",838,Rensselaer,246 1st Street,Troy,NY,12180,Christopher Fuller,518-874-1001,,http://www.protekrecycling.com,"246 1st Street
Troy, NY 12180
(42.721206, -73.695043)"
National Computer Liquidators Inc.,245,Suffolk,110 Bi County Boulevard. Suite 106,Farmingdale,NY,11735,James Hoellerman,516-342-7797,,,"110 Bi County Boulevard
Farmingdale, NY 11735
(40.726577, -73.427922)"
"Recycle Corp of Champlain NY, LLC",1194,Clinton,"100 Walnut Street, Door 19",Champlain,NY,12919,Norman Bernstein,518-304-1818,,,"100 Walnut Street
Champlain, NY 12919
(44.986029, -73.434121)"
REACT E-Cycling Inc.,175,Chemung,225 Colonial Drive,Horseheads,NY,14845,Skip Starr,607-738-6577,,http://www.react-e-cycling.com,"225 Colonial Drive
Horseheads, NY 14845
(42.163611, -76.872494)"
Arrow Scrap Corporation,1053,Suffolk,1120 Lincoln Avenue,Holbrook,NY,11741,Don Galindo,631-319-1910,,http://www.arrowscrap.com,"1120 Lincoln Avenue
Holbrook, NY 11741
(40.77623, -73.083659)"
